epoch,train_loss,val_loss,train_roc_auc,val_roc_auc,train_pr_auc,val_pr_auc,train_accuracy,val_accuracy,train_f1,val_f1,train_mcc,val_mcc,learning_rate,epoch_time_s
0,0.2165153748816717,0.09415818366312212,0.9778955702372817,0.9950972544624991,0.9781758030814869,0.9955090471613024,0.9295561069754618,0.9739454094292804,0.9291360421578144,0.9739776951672863,0.8591725959492692,0.947893737093376,2.8149357437872202e-05,2.0625998973846436
1,0.10624362032029594,0.07049299550771936,0.9927783110298652,0.9967828137603211,0.992994685587697,0.9971053976367846,0.9676040805073063,0.9770471464019851,0.9676353119405041,0.9769182782283219,0.9352099027431774,0.9541537790896564,2.8149357437872202e-05,1.5460090637207031
2,0.08131010787880451,0.05865032322214866,0.995283541119209,0.9977218011317106,0.9955430230827474,0.9979190432195331,0.974910394265233,0.9844913151364765,0.97489308870189,0.9844623990055935,0.9498216910512074,0.9689893424427579,2.8149357437872202e-05,1.5376830101013184
3,0.06718457134521169,0.05043688046378511,0.9965598969040896,0.9983375305555726,0.9965161895794062,0.9984234534908651,0.9800799558864075,0.9869727047146402,0.9800813288303811,0.9869321717485999,0.9601599208962519,0.9739641501841155,2.8149357437872202e-05,1.4293999671936035
4,0.0559615202295343,0.045878019580206195,0.997562699689224,0.9986684851208985,0.9975246349071727,0.9987136105636607,0.9842156051833472,0.9851116625310173,0.984205807297055,0.9850931677018634,0.9684319557320438,0.9702263120510732,2.8149357437872202e-05,1.5489540100097656
5,0.047279965643456955,0.041130925488263075,0.9983559644302995,0.9989224735082416,0.9984702178157129,0.9989740796867248,0.9863523573200993,0.9882133995037221,0.9863561190738699,0.9882060831781502,0.9727048625224332,0.9764275505266998,2.8149357437872202e-05,1.5396370887756348
6,0.03957715544049523,0.035813112506901765,0.9986525787774488,0.9990640912757298,0.998687733866456,0.999136872367299,0.9896608767576509,0.9906947890818859,0.9896608767576509,0.9906658369632856,0.9793217535153019,0.9814084621600451,2.8149357437872202e-05,1.4698560237884521
7,0.03556074095659599,0.03173085234634042,0.9988701555112077,0.9993011471039166,0.9987518306207268,0.999358170092221,0.9905569341053212,0.989454094292804,0.9905575849472741,0.9894475481067659,0.9811138775331838,0.9789089420146965,2.8149357437872202e-05,1.4769530296325684
8,0.030583300631106113,0.028538491829961685,0.9991841775173775,0.9993165403395132,0.9992278551260808,0.9993952638139936,0.9919354838709677,0.9937965260545906,0.9919427036705462,0.9937810945273632,0.9838725476826763,0.9876052141358568,2.8149357437872202e-05,1.4289836883544922
9,0.026171017949412127,0.026491328244843976,0.9995292330466694,0.9994088997530926,0.9995426239735778,0.9994776843876594,0.9929004687069203,0.9906947890818859,0.9929009580260528,0.9906658369632856,0.9858009467809186,0.9814084621600451,2.8149357437872202e-05,1.6377310752868652
10,0.02344941445488944,0.025939877738912702,0.9995740824738397,0.9992072483667778,0.9996074284416412,0.9993258633327884,0.9934518886131789,0.9956575682382134,0.9934487276739535,0.9956602603843769,0.9869042367269723,0.99131589945468,2.8149357437872202e-05,1.4338140487670898
