epoch,train_loss,val_loss,train_roc_auc,val_roc_auc,train_pr_auc,val_pr_auc,train_accuracy,val_accuracy,train_f1,val_f1,train_mcc,val_mcc,learning_rate,epoch_time_s
11,0.020121886918225217,0.027998359574330854,0.999751066675211,0.9989763498328295,0.9997556591419539,0.9991733769196683,0.9947615108905431,0.9925558312655087,0.9947607886391838,0.9925742574257426,0.9895230593908687,0.9851237939998371,2.8149357437872202e-05,1.4133822917938232
12,0.01538032875787893,0.0244561540856657,0.999902053412019,0.9992180236316953,0.9999038684643082,0.9993783151474033,0.996002205679625,0.9931761786600496,0.9960027567195038,0.9931972789115646,0.9920044490633451,0.9863713368106648,2.8149357437872202e-05,1.4265971183776855
13,0.014855428785239743,0.02437370265984247,0.9998752767836788,0.9991872371605022,0.9998720178511483,0.9993521785790501,0.9958643507030603,0.9944168734491315,0.9958649207443143,0.9944272445820433,0.9917287390997366,0.9888405965773086,2.8149357437872202e-05,1.426929235458374
14,0.013267387154809709,0.02454758216392956,0.9998902329274004,0.9990517766872525,0.9998910610837671,0.9992723430841216,0.9967604080507306,0.9944168734491315,0.996761077803046,0.9944272445820433,0.9935209010653611,0.9888405965773086,2.8149357437872202e-05,1.4296371936798096
15,0.01109524887914841,0.023623477585674967,0.9999531551534007,0.9990009790097838,0.9999537272011552,0.9992261074672106,0.9971050454921423,0.9937965260545906,0.9971058434399118,0.9938118811881188,0.9942102421360244,0.9876052141358568,2.8149357437872202e-05,1.4164061546325684
16,0.008097234327651135,0.02571648122900496,0.9999698976726112,0.9991733832484653,0.9999693385915644,0.9993481777995962,0.9986903777226358,0.9944168734491315,0.9986904679853884,0.9944272445820433,0.9973807649223809,0.9888405965773086,1.4074678718936101e-05,1.4252469539642334
17,0.007813989782697173,0.026187103003218408,0.9999823072810613,0.9990394620987753,0.9999822998216853,0.9992756481053782,0.9982078853046595,0.9944168734491315,0.9982083792723263,0.9944272445820433,0.9964159220963927,0.9888405965773086,1.4074678718936101e-05,1.4164438247680664
18,0.006653312782171281,0.024204296607174044,0.9999868872437511,0.9992380348379708,0.9999867845348563,0.9993966866286403,0.9987593052109182,0.9950372208436724,0.9987596471885336,0.9950433705080545,0.9975187620765769,0.9900774897912487,1.4074678718936101e-05,1.4361598491668701
19,0.006569889017352786,0.024484744141870306,0.9999886926232346,0.9991656866306671,0.9999887021352863,0.9993447498589575,0.9984146677695065,0.9944168734491315,0.998414339882799,0.9944272445820433,0.9968294207858507,0.9888405965773086,1.4074678718936101e-05,1.5714120864868164
20,0.0060713593941451515,0.02743697591561006,0.9999935196378538,0.9991856978369427,0.9999935263654558,0.9993847480226082,0.9985525227460711,0.9944168734491315,0.9985516242499483,0.9944272445820433,0.9971058129266722,0.9888405965773086,1.4074678718936101e-05,1.5221261978149414
21,0.005721446928864246,0.026003902253654967,0.9999951349773917,0.9991164282767581,0.99999513531631,0.9993261801042604,0.9988971601874828,0.9944168734491315,0.998897616094805,0.9944272445820433,0.9977946616925417,0.9888405965773086,1.4074678718936101e-05,1.6798808574676514
22,0.005252485189187336,0.02657686329899395,0.9999919042983159,0.9990579339814912,0.999991893660642,0.9992897174375104,0.9990350151640475,0.9944168734491315,0.9990352811466373,0.9944272445820433,0.998070182066669,0.9888405965773086,7.037339359468051e-06,1.4811737537384033
23,0.004741298900888927,0.025957598653246438,0.9999985176884241,0.9990825631584457,0.9999985167031049,0.9993288906648903,0.999379652605459,0.9944168734491315,0.9993797808559024,0.9944272445820433,0.998759390622803,0.9888405965773086,7.037339359468051e-06,1.4661550521850586
24,0.005135490411909481,0.026162593878682,0.999995077965408,0.9991379788065933,0.9999950692286393,0.9993373050538567,0.9992417976288944,0.9944168734491315,0.9992420588437952,0.9944272445820433,0.9984838324475835,0.9888405965773086,7.037339359468051e-06,1.4188108444213867
