epoch,train_loss,val_loss,train_roc_auc,val_roc_auc,train_accuracy,val_accuracy,train_f1,val_f1,train_pr_auc,val_pr_auc,learning_rate,epoch_time_s
0,0.16177791898270547,0.007588835798259409,0.9812946338514551,0.9970999099494331,0.9425834022608216,0.9770471464019851,0.9422450253068017,0.9768605378361476,0.9806570746929956,0.9972629232784561,0.0001,5.289639234542847
1,0.08216148218759348,0.005243605683573866,0.9933036288223329,0.9983991010336573,0.9722911497105046,0.9844913151364765,0.9722720375224169,0.9845392702535559,0.9936918386379922,0.9984961826818834,0.0001,4.2632057666778564
2,0.06767124222226385,0.004413113095994031,0.9951567273714446,0.9985822808192293,0.9771160738902674,0.9882133995037221,0.9771097628240485,0.9882498453927026,0.9943691070691565,0.9985713099512998,0.0001,4.284325838088989
3,0.05472322700258631,0.004815805118147367,0.9963850695874032,0.9981374156256975,0.9820099255583127,0.9863523573200993,0.9820012412937039,0.9863861386138614,0.9963046893882386,0.9979284345016584,0.0001,4.365540981292725
4,0.047224917923500094,0.0037860290148519628,0.9972959405661461,0.998948640390373,0.9845602426247587,0.989454094292804,0.9845538546407392,0.9894996911673872,0.996820107825085,0.9990054179397907,0.0001,4.340206861495972
5,0.04159842207034121,0.004311057896929315,0.9978892737936906,0.9981374156256975,0.9861455748552522,0.988833746898263,0.9861522562866001,0.9889025893958077,0.99772397921332,0.997720678357397,0.0001,4.539035081863403
6,0.036917701179147805,0.003479938236990754,0.998372773432567,0.9991225842203699,0.9879376895505928,0.9906947890818859,0.9879418452421966,0.9907235621521335,0.998271240905248,0.99911645054829,0.0001,4.353086948394775
7,0.039090113731785205,0.0036170357491049185,0.9982582553591504,0.9985576516043625,0.9875241246208988,0.9900744416873449,0.9875267038798153,0.9901112484548825,0.9982246671482227,0.9977298671351889,0.0001,4.436001777648926
8,0.033362595246938374,0.00415814187448176,0.9987733871475792,0.998414494292949,0.9879376895505928,0.9900744416873449,0.9879252052715104,0.9901112484548825,0.9989162535857413,0.9983883112902258,0.0001,4.344642162322998
9,0.03110033431132012,0.003227868769967827,0.9987890179334049,0.9990471572498403,0.9899365867107802,0.9913151364764268,0.9899407468650958,0.991304347826087,0.9985652786292502,0.9989036769512376,0.0001,4.13742208480835
10,0.026844290215013635,0.0034623802883496217,0.9992845756070613,0.9994135168209841,0.9913840639647091,0.9925558312655087,0.9913834700489419,0.9925925925925926,0.9992838664253882,0.9994625439821231,0.0001,4.200944900512695
11,0.027377104482881578,0.0033642772225147143,0.9993102595062021,0.9984714493523287,0.9903501516404742,0.9937965260545906,0.9903501516404742,0.9938195302843016,0.9993155626761892,0.9981767304698509,0.0001,4.302872180938721
12,0.022762065083288215,0.004299879621494233,0.9994007280240417,0.9985653482340082,0.9917287014061208,0.9919354838709677,0.9917287014061208,0.9919604205318491,0.9994370175321615,0.9988675575145961,0.0001,4.283326864242554
13,0.02555142269182659,0.003940934097543405,0.9991646128890986,0.9991949325390412,0.9917287014061208,0.9919354838709677,0.9917275610092375,0.9919802590993214,0.9990922054259973,0.9993076509243903,0.0001,4.277245998382568
14,0.024403068154114912,0.003527476098943067,0.9991018331918646,0.9989532583681606,0.992831541218638,0.9913151364764268,0.9928335170893055,0.991358024691358,0.9990385623138618,0.9990860163386774,0.0001,4.3138439655303955
15,0.0277125424105748,0.004135878332741079,0.999165753128794,0.9987315954343593,0.9908326440584505,0.9919354838709677,0.990838327478129,0.9919604205318491,0.9991298476602528,0.9990270716785631,0.0001,4.429992914199829
16,0.022142160531288247,0.00350803584529316,0.9994138692865321,0.9986007527303793,0.9924869037772264,0.9919354838709677,0.992491561617414,0.9919604205318491,0.9994344155361446,0.9982142903042478,5e-05,4.154896020889282
17,0.01726229824650069,0.003383886231578628,0.9996600945467752,0.9991887752353245,0.9937965260545906,0.9950372208436724,0.9937905340140748,0.995049504950495,0.9996145544192576,0.9992947651676782,5e-05,4.299976825714111
18,0.013700245148484958,0.003457625330784433,0.9997902149000252,0.9990733257906363,0.9953818582850841,0.9937965260545906,0.9953777164539497,0.9938195302843016,0.9998054966433163,0.9992076749736969,5e-05,4.30980110168457
19,0.013712226285509044,0.0044941732040847645,0.9998247261548087,0.9987808538640929,0.9952440033085195,0.9919354838709677,0.995243675467016,0.9919802590993214,0.9998253632081464,0.9991165765386587,5e-05,4.453338146209717
20,0.012779581644635147,0.00462509804599105,0.9998275387460576,0.9984067976633032,0.9952440033085195,0.9906947890818859,0.9952423636489002,0.9907578558225508,0.9998339848778135,0.9986856773316429,5e-05,4.362059116363525
